Name,Review,Date
Ella Waldron,"Unfortunately I have to give a bad review!! We ordered a 2 pizza deal for home delivery from pizza hut bath and it was a total farce. The order was very late so I had to ring several times and at one point the phone was put down on me!! When the pizzas finally arrived a full hour late they were hot but on closer inspection (after the driver had left, my bad) the order wasn't ours. It was meant for someone else and cost £4 less than the value of our order. We ordered a stuffed crust mac and cheese pizza and a chicken supreme and got a margarita pizza and a chicken and sweetcorn!! We were to hungry and frustrated to carry on with complaints and trying to rectify the situation as they clearly couldn't care less about customer service so eat the pizzas we were delivered but will not use again.... never ever!!|Useful|Share",26-Oct-23
Matt,"They used to be our Pizza of choice but went downhill rapidly over last few years. Still tasty but.. mistakes with orders, poor delivery, worse customer service..Now they can't even deliver around Sutton Coldfield, one of Birmingham's biggest suburbs, due to branch closures.Goodbye Pizza Hut! Shame.|Useful|Share",1-Oct-23
Ramin Mamedov,"I have attended dozens of fast-food joints with the aim to find an utterly quality pizza. These guys among all competitors excel, I should confess. Indeed, maybe some tastes aren't habitual to people, but at the same time, if we consider classical ways of making pizza, then they know the recipe better than others. I'm now a regular at their joints cuz it's the best way to have a snack, actually.|Useful|Share",16-Oct-23
Thomas Hardesty,"Montgomery Al location, pizza was good but ordered, paid extra for pan pizza, received hand tossed|Useful|Share",14-Oct-23
David Riley,"Today my wife and I visited Pizza Hut Warrington on the A49.  We had our two grand daughters with us and I have to say that the food, the staff and the cleanliness of the store was incredible.  In particular the staff were most pleasant and nothing appeared to be any trouble for them.  In a word they were brilliant.  Thank you so much Pizza Hut for a most wonderful dining experience.|Useful|Share",6-Sep-23
Debbie Smith,"We didn’t even get our order, the store delivered to another address. Nothing was done to try and retrieve the order, rude staff and no empathy or care that we have no dinner and somebody else is eating our pizza.|Useful|Share",17-Oct-23
masoud diba,I went to Pizza Hut in London marble arch in Oxford Street they charged us to much they cheated us by buffets that was very bad quality and stuff was grumpy i sent email to them and they said just sorry we can’t do anything so please don’t go to Pizza Hut is rubbish and expensive I never ever come back to Pizza Hut and I will tell everyone|Useful|Share,22-Sep-23
MaryC,"Chingford Pizza Hut delivery, always prompt delivery and piping hot pizza. This evening they provided a large pizza instead of medium as ordered, at no extra cost|Useful|Share",5-Nov-23
Ange,My grandson ordered tonight from this company only to find half of it missing. Phone Bitterne branch and they just said they would talk to the delivery driver. No offer of refund. Disgusting customer service and delivery driver who essentially stole food that was paid for by someone who works very hard for his pay. If he was hungry he only had to say and my grandson would have given him some. Put us of of ordering from them in future.|Useful|Share,8-Sep-23
Marc,"Worst customer service Ive ever encountered. To date they refuse to acknowledge my complaint or deal with it. Every time I order via the app my reward points slices are never added. When I have emailed them this and provided copies or the email order they still refuse to acknowledge the issue and just say they have no order on the system despite the email confirmation. Even when using the rewards, you have to still spend a minimum of £10 to have a delivery plus £2 delivery. So a free Pizza still cost £12. What and absolute joke. I will never use PizzaHut again. Have switch to Domino's. Better pizzas and better service.........No wonder PizzaHut are in financial trouble!|Useful|Share",23-Sep-23
Nicole,I would not recommend for delivery. First time it was cold on arrival. Second time food was marked delivered at 18.10 (estimated 18.15/25) and didn’t arrive until ~18.40. Sides were cold and pizza needed reheating. Unreliable service.|Useful|Share,12-Oct-23
Anna Michalakakos,"We went to Pizza hut on Sat 14th October for my mum's 82nd birthday. The staff, Anita and Alicia were so kind, caring and helpful and made my mum feel very special. 1st class customer service, thank you so much!|Useful|Share",30-Sep-23
TB,"Ordering via phone in a restaurant takes away the human side of dinning experience, making it very stressful before you’ve even started- A terrible model.There was a food shortage, crockery shortage and staff shortage! The food finally arrived an hour late. The kids had to eat their ice cream from pizza boxes! Never eating here again.|Useful|Share",17-Oct-23
Axel Ordoñez,"Pizza Hut of agusta road was very bad service today I ordered a delivery as I always do, since the boy called he answered me very rude, at the time of giving the address he did not know how to write, I read the address and said ""I don't understand you"" it is supposed that with my phone number he had to know my information because I have an account there, but the boy was very rude, and apart from the delivery took an hour and 25 minutes to arrive, the pizza and the wings arrived cold.|Useful|Share",4-Aug-23
Steph,"Placed a lunchtime order via deliveroofor a pepperoni pizza, garlic bread, chicken wings. Order arrived what I think was a vegetable special (no meat). Contacted the Winwick Road Restaurant immediately to be told there is nothing they can do. No refund, no replacement...no future orders. Disgusting|Useful|Share",25-Sep-23
Noel Freeman,"I ordered a pizza from chessington Pizza Hut on Wednesday night at around 8pm,  I was served and greeted by a young gentleman. I could see that the store was extremely busy at the time but was still greeted and served with a smile.I originally only come in to order a medium pizza but yet ended up buying a hungry hut deal. Very pleased and highly satisfied, I would strongly recommend this branch.|Useful1|Share",5-Jul-23
Hannah Holmes,"With only around ten tables full ….Service terrible, no one knew table numbers, people sitting for over half an hour with dirty plates … asking for desserts they had to order themselves, not one member of staff apologized but happy to hang off the bar and chat with each other … wow become a fast food establishment rather than a restaurant if you don’t want to offer table service ! This would never had happened a few years ago at Pizza Hut! How the mighty has fallen!! Food was nice but such a shame your duty to your sit in customer has become a can’t be bothered environment!|Useful|Share",2-Aug-23
Hairykeys hilti,If they've started adding spam to pizza like they are to my inbox they'll be inedible.via their spamming affiliateclick revera bieszczady pl cloudtraffic|Useful|Share,Updated 3 Oct 2023
CH,"Pizzas were great, but this is about the £4.99 I just spent for halloumi fries.FIVE halloumi fries. That's £1 a piece.That's ridiculous, and it doesn't match the photo they have on their website.Don't order the halloumi fries; it just isn't worth it. These are pretty much a complete rip off.|Useful|Share",1-Aug-23
Consumer,"Pizza Hut delivery Rainham Essex.Food over an hour late and cold.Could not get through on the phone for over an hour. Then they hung up on me rude staff.Would not refund me when I asked and hung up again! UPDATE, call from customer services offered £5 voucher for a disgusting £22 meal. Told them to poke it|Useful|Share",21-Oct-23
Nifty,"Just close down pizza hut, your basically already circling the drain.|Useful|Share",22-Sep-23
Aki,"My local Pizza Hut (233 Eglinton Ave West, Toronto, Ontario) is cheating on Pizza toppings, I usually order SUPREME PIZZA as on Thursday it's their pizza of the day, the toppings on the supreme are pepperoni, seasoned pork, beef, mushrooms, green bell peppers, and onions. If you google Pizza Hut's supreme ingredients you will see this message ""What Is Pizza Hut's Supreme Pizza? Supreme Pizza is loaded with pepperoni, seasoned pork, beef, mushrooms, green bell peppers, and onions."" I started eating the pizza in the store where I ordered it and while I was eating I realized there was almost no pepperoni, usually the pepperonis cover the whole dough but on my pizza, they were placed only around the crust, and nothing in the middle or elsewhere and No MUSHROOM AT ALL. I was shocked I called one of the staff and showed him the ingredients of supreme pizza on Pizza Hut's website and said my pizza doesn't have any Mushrooms, he looked at the pizza and said yes and then suddenly showed me a very small flake of Mushroom and said "" there it is"" I said is that what you charged me for, we ( the customers) pay what Pizza Hut asks at least give us what we paid for. Suddenly a man with a black dirty shirt came next to the staff and kept pointing at the pizza and almost touching it, I asked him to please stop putting his finger in my pizza and he could not careless then I got angry and yelled at him (STOP IT) he got upset and started talking in his mother tongue to the other staff and left.I am 100% sure that the owner and management of this store told their cooks/employees to be stingy with the toppings to save money on food costs but they still keep raising the price. Pizza Hut has done this several times to me. This is unacceptable this is a false advertisement that needs to stop....pic of items is NOT what you receive. Why doesn't anyone regulate this issue? I have attached two photos one is the pizza I received and the other is advertised by Pizza Hut, you be the judge.|Useful|Share",7-Oct-23
Variam Khanda,I don’t know which part of “can you please make sure you cut the pizza and don’t overload with cheese!”Don’t you understand?This is a reoccurring problem that has not been resolved despite me repeatedly requesting them to do this.I complained directly to Pizza Hut all I got was an apology!Apology’s don’t always fix things unless the appropriate action has been taken.Unfortunately I cannot attach the photos of the pizza|Useful1|Share,Updated 25 Oct 2023
R P,"Always great service and great pizza from Pizza Hut Poplar. I literally just finished ordering online and 2 pizzas were at my door, piping hot, delivered by a super nice driver. So fast! Consistently great service hence we keep going back. Shop the deals section to save money.|Useful1|Share",13-Aug-23
Di Dean,"Today we had a personal pan pizza. My husband had a pepperoni and I had a Hawaiian. They hardly put any sauce, meat or cheese.  The Hawaiian had a small ham slice on each piece but they missed ham on one altogether. Like really! My husband had more pepperoni on it but the slices were cut very thin. Will we go back NO. The only thing that was good was the crust which they had you most of. If you want people to come in give them some sauce, meat etc. or you will not be in business for very long.|Useful|Share",5-Jun-23
Jayant Mody,"Unfortunately can’t give less then this star but awful service received by staffs in Crawley leisure centre. Not going again there or even in any Pizza Hut. Basically got our food and then asked for plates to get food in, member of staff brought 3 plates for family of 4 and also pushed them from the side that our side dish would be fallen down on the floor. Spoke to staff and she was like anything else? So absolutely awful service. No thanks to Pizza Hut for again.|Useful|Share",31-Jul-23
Alma Kemp,"Just ordered a delivery pizza which cost almost £20. A small box with 6 slices and 4 pieces of garlic bread arrived. When we called to enquire was told to sort it with deliveroo. The box has an S on the front so that's small. Don't waste your money. Nandos, Pizza Express, Dominos all do bigger and better and more value for money. We had 2 slices of pizza each a 1 piece of GBeead. We are still sat here hungry. Very disappointed.|Useful|Share",26-Sep-23
Sandra,Pizza Hut on Emmet in Omaha Nebraska sucks...ordered online for delivery it was late 40 minutes when I called found out they were using Doordash the poor guy didn't know any English he had no cash to make change....pizza was cold and under cooked...I will not order there again ever.  When we called Pizza Hut told me Doordash drivers should have change it was like WHAT?  Also since food was cold and Doordash is delivering your food (which I didn't know) why didn't he have your food warmer bag?  Not good...I am not complaining about Doordash since I didn't order thru them.|Useful|Share,31-Oct-23
Devon smith,"Went into Pizza Hit Norwich Riverside today and was greeted with a waitress that right off the bat was rude and disrespectful. When asked how many of us were dining there was 4 seated and two babies asleep in their pushchair but they refused to sit us at the 4 seater table as they stated that all pushchairs should be put to the front of the restaurants which is unreasonable as one is a newborn baby which I’m not going to sit and hold and eat over and the other a sleeping 20 month old whom I’m not going to wake to have a grumpy toddler! It’s complete discrimination against families yet Pizza Hut is meant to be a family restaurant?!There was space enough for a pram to be pulled up to the table (which we did in the end) and four sitting round no problem as we proved) you just didn’t want to serve us.Half the restaurant was empty for ‘reservations’ yet the whole time we were there only 2 tables were taken? So you would try to turn away paying customers to keep reserved tables free for hours before they’re clearly needed?Now here comes the real issue. To have a problem with a customer is one thing, yet to sit there moaning about us where other customers could hear.. and us! Is completely out of order. The waitress (blonde woman with pigtails) needs a serious talking too that this is unreasonable to expect to with put my babies at the front on the restaurant or just go somewhere else is why places like Pizza Hut are struggling in the day and age and especially to sit and talk behind our back about your customers where all can hear is why some waitresses clearly need re training in basic customer service skills.|Useful|Share",26-Aug-23
Sweety Shiju,"We have a very good experience in plungington road pizza hut. The staff ""Zubair"" has been really nice towards us and is really understanding . We appreciate your effort . Thank you.|Useful2|Share",21-Jun-23
Lucy,"My son has food allergies and rather than make us feel welcome and at ease (which is how we have always felt with Pizza Hut in the past) the lady (which wasn’t her fault, she is doing what the company asks) said ‘we cannot guarantee that the food is 100% allergy free’. This is like teaching me to suck eggs. I know more than anyone how difficult it is to cater for an allergic child who could die if he ate the wrong thing. The only way to be truly ‘safe’ is to not go anywhere or eat in any restaurant. You could also say you can’t guarantee that the chef hasn’t picked his nose before preparing the meal, or washed his hands after going to the toilet. Well, can you guarantee this? No, you can’t. Sorry if this comes across hostile, but I am fed up with companies speaking this lazy rhetoric, basically shirking out of any responsibility they hold. I have had amazing experiences with other companies such as TGI Fridays who assure the customer that the manager will take control of the order and they have a very simple system of entering the allergens onto an iPad and it automatically shows what you can or cannot eat. I took much longer to order my meal than my friends because of the painstaking allergen menu process. Therefore we ate later than our friends who were on our table. Of course, there were no waiting staff because Pizza Hut have decided we can just scan a QR code. Who needs a waiter! I am very disappointed with a major company such as Pizza Hut, who should be leading the world of customer service. I always trusted Pizza Hut. Now I will never eat there again, because of the lazy and corner-cutting, money saving attitude they hold. One more thing, they describe allergies as a ‘lifestyle choice’ which is really upsetting to anyone who lives with food allergies. There is no choice involved in this. People with anaphylaxis can die if they eat the wrong foods. I would have thought a company as high profile as Pizza Hut would understand this more than anyone. Very disappointed.|Useful|Share",Updated 1 Oct 2023
Nicola Jennings,"Used to love a good pizza hut on a late night home, but can never seem to get it delivered anymore. Looking st the other reviews it's not just my area too. Sort it out pizza hut.|Useful|Share",2-Sep-23
awrylemming,"Does this company not know consumer law? Because they don't abide by it. They delivered something we didn't order, but we didn't receive the very expensive side we did order. After being lied to 3 times on the phone, the side never came at all, despite waiting 3.5 hours. We asked for a refund. Nope. I can have a free side 'next time' I order their cold, badly made food. Consumer law says you pay for something,  you receive it, or are entitled to a refund. Not more rubbish food. Doesn't surprise that this is unclaimed, they value their customers not at all|Useful|Share",19-Jul-23
Tom Banner,Awful Awful company . They have removed all warmth and customer service by slashing serving staff numbers and implementing a QRS order your own food system. This grime look into a terrible future is completed with being cashless and basically excluding at least 20% of our population ( %of our population known to not have a bank account card or smart phone). Awful complaints department pinged me an AI generated thanks for your feedback… please let’s vote with our feet and say no to this awful company.|Useful1|Share,25-Oct-23
amin khan,Crazy very rude lady and manager I want make complaint to manager and he didn't even asked me what happened And asked me to leave the promises And slam door on my face I got hit by door on my face and finger and lady staring laugh I told manager you know treat people like bad ways and he said you deserve it very unprofessional way|Useful|Share,9-Nov-23
Kerry Inch,I have always loved Pizza Hut pizza’s. Had a slice at an airport the other weekend which was delicious and reminded me of how lovely they are. Ordered from our local outlet in Amersham but the pizza’s were terrible. The worst pizzas we have had in the area. Dry cardboard base.|Useful|Share,5-Aug-23
Marie,Aweful service and horrid product at the crawley location. What has happened to this company. 3 staff laughing and ignoring customers. Then the pizza was cold and absolutely tiny. Your think a regular would be bigger than your hand?! Missing half the toppings. Horrible experience all round. Will never order form here again. Think it’s time this closed down! Way over priced for terrible service and horrible food|Useful|Share,1-Oct-23
Brick bros Bros,"Blackpool Pizza Hut is dirty. I had to put a napkin on my chair before I sat down because it had food stuck on it. Restaurant was dirty. Service ok. Food completely and utterly OVERPRICED. I asked for a glass of water because they only serve drinks that contain artificial sweeteners (which I’m allergic to). The water came in a warm glass and the ice machine doesn’t work. They don’t accept CASH……WHY!!!! I didn’t realise cash wasn’t a legal tender in the uk. My mum wanted to treat us but she couldn’t (she doesn’t have a bank card). Pizza was ok, not the best quality of ingredients. I WILL NEVER go Pizza Hut again. NOT WORTH the overpriced bog standard food and service.|Useful|Share",19-Sep-23
Pierantonio Alice,Pizza hut bavaro punta cana .. una ora de retrazo y no contestan al telefono .. non lo aconsejo|Useful|Share,21-Aug-23
Meg Ryan,"First time ordering from Pizza Hut Aberdeen and last time, too. order was on its way and guess what, 4 minutes before being delivered got an annoying message saying, ""sorry can't deliver order has been damaged. how irritating and howdid this happen?  I think the driver just had my meal.   the order was stuck somewhere for 4 minutes and after waiting almost an hour for the food to be delivered this stupid message about not being able to deliver. NEVER AGAIN. STICKING TO PAPA JOHNS|Useful|Share",10-Jul-23
Flo,"Always great service, great value, lovely staff, great food. Thank you.|Useful|Share",7-Sep-23
Mrs Khan,"Just visited Pizza Hut in Colliers Wood for my daughter's 6th birthday, they were slow to add more pizzas to the buffet station and to top that there was an ant in the sweets at the ice cream factory. The shock horror on my 6yr olds face when she saw that, she rejected her ice cream and was extremely upset. Thats not what you expect from such a well known restaurant.|Useful|Share",16-Jul-23
Joanne Walsh,Have not been to Pizza Hut for years..went the pictures in warrington last night and then Pizza Hut to be met by staff that looked about 14 years old and you have to order Via your mobile phone…what if its Elderly people without phones…the salad bar was small and not clean and pizza was thin base with not much dressing ontop and chips Awful…and expensive for what you get!!!!|Useful|Share,19-Oct-23
gordon bentham,"Salad bar not up to standard. Bland tasting and lacks character.  Drinks sub standard from drinks machine . 1bbq Americana plus ,1 pepperoni pizza =6 out of ten on average .plus 1 portion of French fries , what ever happened to wedges?£ 50 for 2 people very much overpriced for the standard . Scanning bar codes for service , encroaches on customer service and human experience. Avoiding this place . Sad because very polite staff ,however, blatant bad head office management style . I will avoid this bad taste .|Useful|Share",9-Oct-23
Cristie Turner,Ordered a taco pizza we always got salsa and sour cream without having to ask this time neither one was included with our order I refuse. To order there again in rice lake wi|Useful|Share,12-Sep-23
Aidan Kelly,"Went to local Pizza Hut in Bramley. Treated as an inconvenience by the service operator. No welcome or smile, just what do you want attitude.Pizza itself was tasteless compared to it's rivals.  Texture was great but completely void of any taste.Will never go back.|Useful|Share",16-Oct-23
Ann Griffiths,The one and only. Every time we visit Chingford Pizza Hut we are always greeted in a friendly manner.We travel from Epping to get the best ever Pizza and cannot wait to get home to tuck in. Always cooked fresh and make every effort in keeping regular customers.|Useful1|Share,25-Oct-23
Sarah,Pizza Hut supports Israel’s Occupation and Apartheid of Palestine. Boycotting! Bye bye|Useful|Share,8-Aug-23
Heather Thomas,"My friend and I had a brilliant experience at Hereford Pizza Hut, The food was excellent and our staff Taylor was fab, and had a great sense of humour..Definately would return to the Hereford Brance...|Useful1|Share",17-Sep-23
Julie Wright,We visited the Pakefield Pizza Hut today. I just wanted to give some very positive feedback. The food was cooked to perfection and the service was second to none. Will be visiting again when we are next holidaying in Pakefield.|Useful1|Share,3-Nov-23
Karla Merrill,"Kelly from the Hot Springs, SD Pizza Hut is absolutely amazing. She always greets you with smile, service is quick, and she is incredibly personable and genuinely cares about the guests. She goes above and beyond to ensure that her guests have nothing but the best dining experience! We are blessed and grateful to have her!! Thank you so much Kelly, for your outstanding dedication and customer service!|Useful|Share",27-Sep-23
Peckys Pure,"Peckys Pure cannot forget Pizza Hut for the past 15 years. A great place for pizzas in affordable rates. Whenever a task is completed and best performer is announced in Peckys Pure, he will receive a gift of some huge incentive and the team will be enjoying it's victory with Pizza Hut. Peckys Pure A great place for sweet memories.|Useful|Share",2-Sep-23
Lisa,"Attended at pizza hut, Robin Park, Wigan where the miserable service was only out shone by the dreadful quality and choice presented to us on the buffet!Numerous pizza variety were advertised, yet we were left with dry, bland cheese, pepperoni and veggie pizzasWhen challenging this, the less than bright server replied ""its just what comes out of the oven and basically lump it""!!|Useful|Share",11-Jun-23
Tim Marsh,"Pizza Hut at the Fort in Edinburgh has dropped its standards by 90% my wife her friend and myself went in for a meal. We ordered the £19.99 meal deal we waited and waited the restaurant was not overly busy. We went up for our salad firstly five bowls dirty then hardy any salad available I counted three empty food containers which had not be refilled no one seemed to care, when the pizza’s arrived all three very very greasy hardly any topping on my wife’s and mine chips cold and not at all crispy the choice of syrup juice was limited, all in all a total waste of £40 will certainly not return and I will let my friends and family know of our experience. Shame on you Pizza Hut you’ve definitely gone downhill big style. If I had to score for my food and experience it would be -7/10.|Useful|Share",21-Jul-23
Robyn Pohlmann Hickey,"When the company CEO can't even reply to a snail mail letter, why should anyone expect employees to care? I requested a refund for my purchase because the pizza was so bad. I asked for extra sauce because pizzas don't seem to have much sauce on them anymore. I swear they didn't even 06/24/2023put the usual lousy amount of sauce on.|Useful|Share",22-Jul-23
Aakash Raj Gupta,"Hopeless services, yesterday i paid for pizza and my order was accepted, but after 2 hours they are saying the vendor misilivered my order to someone else|Useful|Share",27-Oct-23
Katy Calvert,"Recently visited White Rose Pizza Hut. Was very disappointed to find out card only, no cash. Also having to order on the App. Not suitable for the Grandparents with Grand Children. Won't be going again.|Useful|Share",3-Aug-23
Fadoua Benmaarouf,"Bone experiance,a pizza hut le raport qualite prix ,delicieux c super bon|Useful|Share",25-May-23
Consumer,"The Best Vegan Pizza ever tasted- I tried so many Pizzas but for me to go back 3 times in less than a week that is impressive. Pizza Hut in Portland Road is the best pizza and amazing customer service and not once been let down. Service is smile and professionalism, pizza is fresh, delicious and made to perfectionist. Amazing pizza. Thanks to the lovely staff xxx|Useful|Share",31-Jul-23
Ipswichandfedup,"Expensive (£110 for 5 people drinking Pepsi!) uninteresting looking food, the reviewers £16.49 9” hot meat feast pizza was far from a ‘feast’, everything was very acidic on the salad bar, including some awful ranch dressing. The atmosphere was disappointing being very noisy and tired with a distinct lack of any quality feel. Our serving lady was very pleasant and friendly.. a bright light in a mostly disappointing experience.., and the final insult 4 out of the 5 in our group ended up with stomach gripes and diarrhoea during the night and during the next day.|Useful1|Share",24-May-23
Catherine,Terrible food base way to thin for toppings no taste wedges wasn’t cooked and garlic bread overdone and dry will not be going back there again|Useful|Share,21-Aug-23
Iulia Oana,Always great service and great pizza from Pizza Hut East Ham. Our delivery driver named Singh was very fast. Consistently great service hence we keep going back. Shop the deals section to save money.|Useful1|Share,2-Jun-23
jasmine Melody,"For 2 L pizzas and cookie it came to 50 pound. Te cheese is tastless, no cheese pull.. just plasticy carboard. Im not even jokeing when i say this pizza was the most TASTLESS pizza i have EVER eaten... yet the most expensive 1 ive ever payed for!!!!!!!!!!!!!!!If im paying 25 for a pizza, they must be getting 24 profit on it because they clearly make it with the mostr cheapeast ingrediants they can get their hands on.This is truly a scam|Useful|Share",26-Jul-23
Mr Jay Sedani,"Just got back from a family trip to Pizza Hut, midsummer boulevard in Milton Keynes. The visit was horrible. This is in stark contrast to my previous visit. Unlike the previous occasion when Liam made our time there pleasant and comfortable, this time we had a manager called ROB. Rob is a rude, unfriendly and unprofessional manager. I explained to him there were no working sanitizers and people were using the salad bar unclean. Everyone was trying the sanitiser stations with no success. There were no signs up. Rob’s response was “just use the toilets yeah”. How unprofessional! No apology, no attempt to explain. Just said that and walked off. Other customers were also shaking their heads. Pizza Hut should get rid of him!!!|Useful|Share",5-Nov-23
Susan Stockley,"Sarah, who brought us our food at Crystal Peaks, Sheffield Pizza Hut, was very attentive and helpful. We always like her to serve us because she genuinely seems to want to make out visit great. The food was good and brought to our table quickly.|Useful|Share",28-Sep-23
Danny pashley,Will never eat here ever again dirty restaurants food made me sick and refused to take cash boycott.|Useful|Share,17-Oct-23
Barbara Driskell,I have tried to contact Pizza Hut and ask a question regarding their specials that are advertised on Television. But they have ignored me. The Pizza Hut here in Rochester New York on East Ridge Road routinely tells me that they are not aware of any specials. Therefore I end up ordering a more expensive pizza. I think it is a scam to lure people in. When I emailed Pizza Hut to ask if they honor the specials. They didn't seem to care!|Useful|Share,4-Oct-23
Unhappy customer,"Pizza Hut Restaurant Chesterfield- utterly outstanding (wonderful atmosphere for birthdays etc, great service and a real treat)Pizza Hut Delivery Chesterfield- utterly outstanding (seriously amazing pizzas made here by the manager and his diligent staff- never disappointed by the brilliance of their product). Top tier Pizza Hut delivery Pizza Hut Delivery York- utterly outstanding (great tasting pizza and staff who go the extra mile)- Top tierPizza Hut delivery Gloucester; Arthur Street- marvellous pizzas have made my visits to Gloucester Cathedral more enjoyable. Very quick service tooPizza Hut Delivery London Golders Green- utterly awful- the chap who I believe may have been the manager was acting like a complete thug and a goon who was insulting to customers and trying to turn away custom by pretending not to understand orders which were made in perfect English. This was the only time I've ever experienced bad service in a pizza Hut.|Useful|Share",28-Jul-23
Sorina,"Don’t even think to order from them, since they are with Nine food group there is no standards, no care for customers. Avoid order from them. Even chicken shop have more standards than them.|Useful|Share",25-Oct-23
Brendon Day,I just wanted to leave feed back as usually on platforms like this it is always complaints. But for some time now I  order for collection from Rochester Pizzahut  takeaway and every time is is fantastic. Staff are always friendly and helpful and my meatfeast is always perfect. Keep up the good work and good food. The team there deserve a pat on the back|Useful|Share,23-Oct-23
Katrina Sandhu,"Don’t even deliver, my address is only 2.4 miles away - what a joke! Apparently it’s because they want to focus on “in dining experience” the 3 pizza huts in my area do not have in dining available so that’s the dumbest excuse I’ve ever heard.|Useful|Share",2-Jun-23
Tracy Williams,"Our visit to Pizza Hut experience left us never to return .. Card onlyNo waitress serviceOrder on app only Then App asks to leave a gratuity tip  ..for what exactly ?If your wanting to spend money, enjoy a waitress service and not get stressed  Go elsewhere .. our waitress was very unhelpful god knows if I was old no mobile phone and dyslexic ,oh ! and only had a purse full of cash to spend .. I would be turned away .. Well done Pizza Hut|Useful|Share",4-Jul-23
Steven Watkins,"I ordered from app payed £34.41 for food at 22.15 in night so phoned the shop just before 11 to find out they taken my money from my bank and didn't get order, absolutely p*** taking its to late to order from anywhere else and I can't anyway as they taking the p*** in refunding my money back, will never ever be ordering from this p*** taking place again and advice would be stay well away. If I could give 0 star that would be still to good for this p*** taking place.|Useful2|Share",6-Jul-23
